iter	Passed	Remaining
511	760	725
512	761	723
513	762	720
514	763	718
515	764	716
516	764	714
517	765	712
518	766	710
519	767	708
520	768	706
521	769	704
522	770	702
523	770	700
524	771	698
525	772	696
526	774	694
527	774	692
528	775	690
529	776	688
530	777	686
531	778	684
532	779	682
533	779	680
534	781	679
535	782	677
536	782	674
537	783	672
538	784	670
539	785	668
540	786	666
541	786	665
542	787	663
543	788	661
544	789	659
545	790	657
546	791	655
547	791	653
548	792	651
549	793	649
550	795	647
551	796	646
552	796	644
553	797	642
554	798	640
555	799	638
556	800	636
557	800	634
558	801	632
559	802	630
560	803	628
561	804	626
562	804	624
563	805	622
564	806	620
565	807	619
566	808	617
567	808	615
568	810	613
569	811	611
570	812	610
571	812	608
572	813	606
573	814	604
574	815	602
575	816	600
576	817	599
577	818	597
578	819	595
579	819	593
580	820	591
581	821	590
582	822	588
583	823	586
584	824	584
585	825	583
586	826	581
587	827	579
588	828	577
589	829	576
590	830	574
591	831	572
592	832	571
593	833	569
594	833	567
595	834	565
596	835	564
597	836	562
598	837	560
599	838	559
600	839	557
601	840	555
602	840	553
603	841	551
604	842	550
605	843	548
606	844	546
607	845	544
608	845	543
609	846	541
610	847	539
611	848	538
612	849	536
613	850	534
614	851	532
615	852	531
616	853	529
617	854	527
618	854	526
619	855	524
620	856	522
621	857	520
622	858	519
623	859	517
624	860	516
625	860	514
626	861	512
627	862	510
628	863	509
629	864	507
630	864	505
631	865	504
632	866	502
633	867	500
634	868	499
635	869	497
636	870	495
637	870	494
638	871	492
639	872	490
640	873	489
641	874	487
642	874	485
643	875	484
644	876	482
645	877	481
646	878	479
647	879	477
648	880	476
649	881	474
650	882	472
651	882	471
652	883	469
653	884	467
654	885	466
655	886	464
656	886	463
657	887	461
658	888	459
659	889	458
660	890	456
661	891	455
662	892	453
663	892	451
664	893	450
665	894	448
666	895	447
667	896	445
668	897	443
669	898	442
670	899	440
671	899	439
672	900	437
673	901	436
674	902	434
675	903	433
676	904	431
677	905	429
678	905	428
679	906	426
680	907	425
681	908	423
682	909	422
683	910	420
684	911	419
685	912	417
686	913	416
687	914	414
688	916	413
689	917	412
690	918	410
691	918	408
692	919	407
693	920	405
694	921	404
695	922	402
696	923	401
697	924	399
698	925	398
699	926	396
700	926	395
701	927	393
702	928	392
703	929	390
704	930	389
705	931	387
706	931	386
707	932	384
708	933	383
709	934	381
710	935	380
711	936	378
712	937	377
713	938	375
714	938	374
715	939	372
716	940	371
717	941	369
718	942	368
719	942	366
720	943	365
721	944	363
722	945	362
723	946	360
724	946	359
725	947	357
726	948	356
727	949	354
728	950	353
729	950	351
730	952	350
731	953	349
732	954	347
733	954	346
734	955	344
735	956	343
736	957	341
737	958	340
738	959	338
739	959	337
740	960	335
741	961	334
742	962	332
743	963	331
744	964	329
745	964	328
746	966	327
747	967	325
748	968	324
749	969	323
750	969	321
751	970	320
752	971	318
753	972	317
754	973	315
755	974	314
756	975	313
757	976	311
758	976	310
759	977	308
760	978	307
761	979	305
762	980	304
763	981	303
764	982	301
765	982	300
766	983	298
767	984	297
768	985	296
769	986	294
770	986	293
771	988	291
772	988	290
773	989	289
774	990	287
775	991	286
776	992	284
777	992	283
778	993	281
779	995	280
780	996	279
781	996	277
782	997	276
783	998	275
784	999	273
785	1000	272
786	1000	270
787	1001	269
788	1002	268
789	1003	266
790	1004	265
791	1005	263
792	1005	262
793	1006	261
794	1007	259
795	1008	258
796	1009	257
797	1010	255
798	1011	254
799	1012	253
800	1013	251
801	1014	250
802	1015	249
803	1016	247
804	1017	246
805	1018	245
806	1019	243
807	1020	242
808	1020	241
809	1021	239
810	1022	238
811	1023	237
812	1024	235
813	1025	234
814	1026	232
815	1027	231
816	1028	230
817	1028	228
818	1029	227
819	1030	226
820	1031	224
821	1032	223
822	1033	222
823	1034	220
824	1034	219
825	1035	218
826	1036	216
827	1037	215
828	1038	214
829	1039	212
830	1040	211
831	1040	210
832	1041	208
833	1042	207
834	1043	206
835	1044	204
836	1045	203
837	1046	202
838	1047	200
839	1047	199
840	1048	198
841	1049	196
842	1050	195
843	1051	194
844	1052	193
845	1053	191
846	1053	190
847	1054	189
848	1055	187
849	1056	186
850	1057	185
851	1058	183
852	1059	182
853	1060	181
854	1061	179
855	1061	178
856	1062	177
857	1063	176
858	1064	174
859	1065	173
860	1066	172
861	1067	170
862	1067	169
863	1068	168
864	1069	166
865	1070	165
866	1071	164
867	1071	163
868	1073	161
869	1073	160
870	1074	159
871	1075	157
872	1076	156
873	1077	155
874	1077	153
875	1078	152
876	1079	151
877	1080	150
878	1082	148
879	1083	147
880	1084	146
881	1085	145
882	1085	143
883	1087	142
884	1087	141
885	1088	140
886	1089	138
887	1090	137
888	1091	136
889	1092	134
890	1093	133
891	1094	132
892	1095	131
893	1096	129
894	1097	128
895	1098	127
896	1099	126
897	1100	124
898	1101	123
899	1102	122
900	1103	121
901	1103	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1109	113
907	1110	112
908	1111	111
909	1112	110
910	1113	108
911	1114	107
912	1115	106
913	1116	105
914	1117	103
915	1117	102
916	1118	101
917	1119	100
918	1120	98
919	1121	97
920	1122	96
921	1122	95
922	1123	93
923	1124	92
924	1125	91
925	1126	89
926	1126	88
927	1127	87
928	1128	86
929	1129	85
930	1130	83
931	1131	82
932	1132	81
933	1133	80
934	1134	78
935	1134	77
936	1136	76
937	1136	75
938	1137	73
939	1138	72
940	1139	71
941	1140	70
942	1141	68
943	1141	67
944	1143	66
945	1143	65
946	1144	64
947	1145	62
948	1146	61
949	1147	60
950	1148	59
951	1148	57
952	1150	56
953	1152	55
954	1152	54
955	1153	53
956	1154	51
957	1155	50
958	1156	49
959	1157	48
960	1158	47
961	1158	45
962	1159	44
963	1160	43
964	1161	42
965	1162	40
966	1163	39
967	1163	38
968	1164	37
969	1165	36
970	1166	34
971	1167	33
972	1168	32
973	1168	31
974	1169	29
975	1170	28
976	1171	27
977	1172	26
978	1173	25
979	1174	23
980	1175	22
981	1176	21
982	1176	20
983	1177	19
984	1178	17
985	1179	16
986	1180	15
987	1181	14
988	1182	13
989	1182	11
990	1183	10
991	1184	9
992	1185	8
993	1186	7
994	1187	5
995	1188	4
996	1189	3
997	1190	2
998	1191	1
999	1192	0
